ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
4344	1586	3	20	20	100	13.333333333333334	9	100	29.333333333333332
4345	1557	4	20	20	100	5.0	13	100	7.0
4346	1597	8	20	20	100	5.0	13	100	7.0
4347	1569	4	20	20	100	15.0	13	100	23.0
4348	1589	4	20	20	100	5.0	8	100	12.0
4349	1572	7	20	20	0	0	14	0	0
4350	1587	6	20	20	100	10.0	13	100	15.0
4351	1605	4	20	20	100	5.0	11	100	9.0
4352	1587	2	20	20	100	25.0	14	100	28.0
4353	1312	10	20	20	0	0	17	0	0
4354	1211	8	20	20	100	45.0	13	100	53.0
4355	728	5	20	20	100	10.0	2	100	100.0
4356	622	8	20	20	0	0	0	0	0
4357	788	1	20	20	100	90.0	0	0	0
4358	560	1	20	20	100	100.0	0	0	0
4359	463	1	20	20	100	95.0	0	0	0
4360	708	2	16	16	100	100.0	0	0	0
4361	334	1	18	12	0	0	9	0	0
4362	58	6	20	16	0	0	14	0	0
4363	320	3	7	5	100	100.0	0	0	0
4364	555	5	20	20	100	20.0	16	100	12.0
4365	470	12	20	20	0	0	17	0	0
4366	290	2	6	6	100	100.0	1	100	100.0
4367	1106	12	20	20	0	0	14	0	0
4368	760	6	14	12	0	0	7	0	0
4369	1247	3	20	20	100	60.0	7	0	0
4370	1746	9	20	20	100	10.0	17	100	11.0
4371	1659	5	20	20	0	0	18	0	0
4372	1615	14	20	16	0	0	15	0	0
4373	1213	1	20	18	100	61.0	9	100	44.0
4374	135	3	3	3	100	100.0	0	0	0
4375	751	1	20	20	100	85.0	0	0	0
4376	937	6	20	20	100	5.0	6	0	0
4377	1403	2	20	20	100	5.0	11	100	9.0
4378	1933	6	20	20	100	5.0	11	100	9.0
4379	1917	4	20	20	100	5.0	16	100	6.0
4380	1873	5	20	20	100	15.0	18	100	16.0
4381	1865	1	20	20	100	10.0	18	100	11.0
4382	1126	1	16	16	100	37.0	11	100	18.0
4383	1854	6	20	20	100	10.0	10	100	20.0
4384	1884	10	20	20	0	0	10	0	0
4385	1860	8	20	18	0	0	10	0	0
4386	1788	2	20	20	100	5.0	16	100	6.0
4387	1877	4	20	20	100	5.0	15	100	6.0
4388	1932	7	20	20	0	0	16	0	0
4389	1763	12	20	20	0	0	19	0	0
4390	1821	5	20	20	100	10.0	13	100	15.0
4391	1085	2	20	20	100	20.0	7	100	14.0
4392	665	1	20	20	100	90.0	0	0	0
4393	860	2	20	20	100	100.0	0	0	0
4394	860	1	20	20	100	100.0	0	0	0
4395	258	2	6	6	100	100.0	0	0	0
4396	1040	2	20	20	100	15.0	16	100	6.0
4397	1651	6	20	20	0	0	20	0	0
4398	1210	2	20	20	100	20.0	15	100	20.0
4399	322	1	10	8	100	100.0	0	0	0
4400	367	1	16	12	0	0	10	0	0
4401	310	13	15	15	0	0	10	0	0
4402	172	2	17	17	100	11.0	13	100	7.0
4403	1575	1	20	20	100	5.0	15	0	0
4404	1924	9	20	20	0	0	17	0	0
4405	534	3	9	9	100	22.0	4	0	0
4406	969	3	20	20	100	15.0	13	0	0
4407	1901	3	20	20	100	5.0	16	100	6.0
4408	1903	5	20	20	100	15.0	16	100	18.0
4409	1001	3	14	14	100	7.0	11	0	0
4410	955	2	20	20	100	20.0	11	0	0
4411	1916	3	20	20	0	0	14	0	0
4412	1148	11	20	20	0	0	14	0	0
4413	277	2	6	4	100	100.0	0	0	0
4414	484	6	20	16	0	0	15	0	0
4415	238	6	5	5	100	60.0	1	0	0
4416	1117	1	20	20	100	40.0	7	0	0
4417	1772	7	20	20	100	5.0	12	100	8.0
4418	1900	14	20	20	0	0	14	0	0
4419	1876	12	20	20	0	0	8	0	0
4420	1853	2	20	20	100	5.0	13	100	7.0
4421	528	12	9	7	0	0	6	0	0
4422	750	4	17	13	100	30.0	12	100	33.0
4423	1227	2	20	20	100	35.0	12	0	0
4424	1164	6	20	20	0	0	16	0	0
4425	1560	7	20	20	100	20.0	17	100	23.0
4426	565	2	13	13	100	76.0	4	100	75.0
4427	1138	1	20	20	100	25.0	4	0	0
4428	1876	12	20	20	0	0	20	0	0
4429	1892	7	20	20	0	0	17	0	0
4430	1596	11	20	20	100	5.0	17	100	5.0
4431	637	5	15	15	100	26.0	5	100	20.0
4432	507	5	16	12	100	8.0	8	0	0
4433	986	1	20	20	100	35.0	10	0	0
4434	1884	5	20	20	0	0	16	0	0
4435	1924	11	20	20	0	0	13	0	0
4436	1892	9	20	20	0	0	15	0	0
4437	1179	3	20	20	0	0	6	0	0
4438	390	4	8	8	100	87.0	0	0	0
4439	1000	1	20	20	100	35.0	10	0	0
4440	938	10	20	18	0	0	14	0	0
4441	221	9	4	4	100	100.0	3	100	100.0
4442	371	1	20	18	100	44.0	14	100	42.0
4443	1423	12	20	18	0	0	14	0	0
4444	283	8	20	20	0	0	20	0	0
4445	1909	9	20	20	100	5.0	18	100	5.0
4446	690	1	11	11	100	36.0	6	0	0
4447	1245	2	20	20	100	15.0	13	100	7.0
4448	1601	9	20	20	100	75.0	17	100	82.0
4449	1519	1	20	20	100	100.0	13	100	100.0
4450	169	2	3	3	100	100.0	0	0	0
4451	379	2	20	18	100	5.0	12	0	0
4452	358	1	9	9	100	22.0	2	100	100.0
4453	372	10	18	18	0	0	17	0	0
4454	768	3	20	20	100	10.0	18	0	0
4455	906	7	16	16	100	67.14285714285714	9	100	98.28571428571429
4456	396	1	20	20	100	70.0	10	100	40.0
4457	1123	10	17	17	0	0	13	0	0
4458	1216	2	20	20	100	45.0	9	100	22.0
4459	1350	4	20	18	0	0	17	0	0
4460	784	18	11	11	0	0	10	0	0
4461	1294	1	20	20	100	35.0	12	100	8.0
4462	1872	4	20	20	100	5.0	19	100	5.0
4463	1596	1	20	18	0	0	13	0	0
4464	121	2	3	3	100	66.0	0	0	0
4465	520	3	20	20	100	18.333333333333332	16	66	6.0
4466	835	1	13	13	100	15.0	10	100	10.0
4467	591	4	20	18	100	11.0	14	100	7.0
4468	351	4	4	4	100	100.0	4	100	100.0
4469	645	1	20	20	100	60.0	9	100	22.0
4470	932	4	19	17	100	5.0	13	100	7.0
4471	1025	1	20	20	100	100.0	9	100	100.0
4472	1943	9	20	20	100	35.0	18	100	38.0
4473	1834	2	20	20	100	45.0	20	100	45.0
4474	1934	9	20	20	100	35.55555555555556	17	100	35.666666666666664
4475	1896	5	20	20	100	80.0	19	100	78.0
4476	582	1	14	14	100	92.0	0	0	0
4477	791	2	20	20	100	10.0	17	0	0
4478	768	7	14	14	0	0	9	0	0
4479	1015	1	20	20	100	25.0	13	100	7.0
4480	868	6	20	20	100	5.0	20	100	5.0
4481	76	2	3	3	100	100.0	0	0	0
4482	689	4	20	20	100	5.0	14	100	7.0
4483	948	7	15	13	100	7.0	10	100	10.0
4484	1324	2	20	20	100	5.0	10	100	10.0
4485	730	8	20	20	0	0	17	0	0
4486	1105	3	20	16	100	62.0	10	100	50.0
4487	763	8	8	6	100	100.0	6	100	100.0
4488	989	3	20	18	100	27.0	13	100	7.0
4489	752	12	15	13	0	0	10	0	0
4490	646	1	20	20	100	25.0	13	0	0
4491	855	1	13	13	100	15.0	7	0	0
4492	1085	2	20	20	100	100.0	0	0	0
4493	1325	1	20	20	100	70.0	17	100	76.0
4494	1733	5	20	20	100	100.0	14	100	100.0
4495	300	3	6	6	100	100.0	0	0	0
4496	74	7	18	14	0	0	11	0	0
4497	866	1	20	20	100	45.0	6	100	16.0
4498	1874	2	20	20	100	10.0	15	100	13.0
4499	1031	9	20	20	100	10.0	18	100	11.0
4500	893	1	14	14	100	42.0	8	0	0
4501	1133	1	20	20	0	0	12	0	0
4502	1049	10	20	18	0	0	18	0	0
4503	1181	2	20	20	100	40.0	13	100	23.0
4504	242	1	8	8	100	100.0	0	0	0
4505	1133	1	20	20	100	35.0	7	0	0
4506	946	9	20	20	0	0	16	0	0
4507	920	3	14	14	100	21.0	10	0	0
4508	78	1	20	18	100	11.0	14	0	0
4509	256	2	6	4	100	100.0	0	0	0
4510	582	8	16	14	0	0	10	0	0
4511	174	1	20	18	100	5.0	14	0	0
4512	635	1	20	18	100	22.0	9	0	0
4513	615	14	12	12	0	0	9	0	0
4514	471	1	18	10	100	20.0	9	100	22.0
4515	974	1	20	18	100	22.0	14	100	7.0
4516	928	8	20	20	100	5.0	7	100	14.0
4517	130	10	20	20	100	5.0	13	0	0
4518	1051	8	20	16	100	6.0	12	100	8.0
4519	1825	4	20	20	100	81.25	15	100	76.0
4520	1928	8	20	20	100	100.0	18	100	100.0
4521	1748	3	20	20	100	90.0	17	100	100.0
4522	679	1	16	16	100	100.0	0	0	0
4523	669	1	20	20	100	40.0	10	0	0
4524	1370	10	20	20	0	0	12	0	0
4525	44	2	1	1	100	100.0	0	0	0
4526	706	1	20	20	100	100.0	5	100	100.0
4527	1073	1	20	20	100	5.0	16	0	0
4528	1022	3	20	20	100	5.0	14	100	7.0
4529	460	4	20	20	100	5.0	18	0	0
4530	636	1	10	10	100	40.0	5	0	0
4531	1509	2	20	20	100	32.5	12	100	33.0
4532	1893	7	20	20	100	89.28571428571429	19	100	88.28571428571429
4533	1410	6	20	18	100	51.666666666666664	15	100	51.0
4534	17	6	1	1	100	100.0	0	0	0
4535	238	9	13	9	0	0	6	0	0
4536	405	9	20	16	0	0	13	0	0
4537	341	3	9	9	100	33.0	0	0	0
4538	919	8	18	12	0	0	11	0	0
4539	817	1	20	20	100	15.0	18	100	5.0
4540	1194	7	20	20	100	5.0	15	100	6.0
4541	1536	8	20	20	100	75.0	19	100	73.0
4542	586	1	8	8	100	87.0	5	100	100.0
4543	372	10	20	20	100	15.0	18	100	11.0
4544	415	8	11	5	100	80.0	5	100	80.0
4545	636	3	20	16	100	43.0	16	100	43.0
4546	158	1	4	4	100	75.0	0	0	0
4547	479	3	20	20	100	25.0	14	0	0
4548	1520	10	20	20	0	0	18	0	0
4549	1176	1	20	20	100	45.0	9	0	0
4550	99	2	2	2	100	100.0	0	0	0
4551	922	2	20	20	100	35.0	17	100	23.0
4552	1724	9	20	20	0	0	17	0	0
4553	1340	4	20	20	100	5.0	14	100	7.0
4554	221	2	4	4	100	100.0	0	0	0
4555	1150	1	20	20	100	55.0	8	100	25.0
4556	1415	16	20	20	0	0	17	0	0
4557	1241	3	15	15	100	6.0	13	100	7.0
4558	944	2	20	20	0	0	17	0	0
4559	845	24	13	13	0	0	11	0	0
4560	636	1	20	20	100	45.0	7	0	0
4561	1714	4	20	20	0	0	18	0	0
4562	751	6	11	11	100	9.0	9	0	0
4563	1215	3	20	20	100	18.333333333333332	16	100	10.0
4564	867	6	12	12	0	0	9	0	0
4565	1754	12	20	20	100	15.0	14	0	0
4566	878	4	13	13	100	23.0	9	100	22.0
4567	644	8	20	16	100	6.0	15	100	6.0
4568	81	3	2	2	100	50.0	0	0	0
4569	582	12	20	16	100	25.0	10	100	40.0
4570	436	2	20	20	100	17.5	16	50	6.0
4571	1382	2	18	18	100	5.0	16	100	6.0
4572	1620	2	20	20	100	95.0	15	100	93.0
4573	1954	4	20	20	100	100.0	19	100	100.0
4574	1481	9	20	20	100	74.44444444444444	16	100	74.22222222222223
4575	1804	7	20	20	100	30.714285714285715	19	100	31.285714285714285
4576	334	1	8	8	100	87.0	2	100	100.0
4577	1165	1	20	20	100	25.0	12	0	0
4578	1310	8	20	20	0	0	17	0	0
4579	1077	1	16	14	100	7.0	10	0	0
4580	953	1	20	20	100	15.0	13	100	7.0
4581	480	8	11	11	0	0	10	0	0
4582	653	4	20	18	100	5.0	15	0	0
4583	594	2	20	16	100	25.0	15	100	26.0
4584	49	3	1	1	100	100.0	0	0	0
4585	148	1	20	16	100	12.0	14	0	0
4586	40	3	1	1	100	100.0	0	0	0
4587	457	3	20	18	100	11.0	15	0	0
4588	273	331	4	4	0	0	3	0	0
4589	325	6	20	16	100	31.0	13	100	15.0
4590	139	1	3	3	100	33.0	2	0	0
4591	1021	1	20	20	100	90.0	2	100	50.0
4592	1345	2	20	20	100	15.0	13	100	7.0
4593	1720	2	20	20	100	5.0	16	0	0
4594	1916	18	20	20	100	5.0	15	100	6.0
4595	1908	17	20	20	0	0	15	0	0
4596	1795	5	20	20	100	15.0	14	100	21.0
4597	1157	9	20	20	100	5.0	16	100	6.0
4598	220	2	7	7	0	0	0	0	0
4599	1002	2	20	20	100	15.0	12	0	0
4600	1900	9	20	20	0	0	15	0	0
4601	1908	7	20	20	100	5.0	18	100	5.0
4602	1908	14	20	16	0	0	13	0	0
4603	1534	8	20	20	0	0	15	0	0
4604	499	3	9	9	100	22.0	6	0	0
4605	1171	1	20	20	100	20.0	9	100	22.0
4606	1826	10	20	20	0	0	15	0	0
4607	1877	5	20	20	100	5.0	16	100	6.0
4608	1342	16	20	20	0	0	20	0	0
4609	1310	1	20	20	100	15.0	11	0	0
4610	124	6	4	4	0	0	0	0	0
4611	1204	3	20	20	100	45.0	11	100	18.0
4612	1823	1	20	20	100	25.0	15	100	33.0
4613	1872	4	20	20	100	10.0	18	100	11.0
4614	1365	5	20	20	100	15.0	17	100	17.0
4615	413	2	12	12	100	70.5	0	0	0
4616	702	3	20	16	100	18.0	10	100	10.0
4617	485	10	8	8	0	0	6	0	0
4618	249	1	20	18	100	16.0	13	100	15.0
4619	681	7	10	10	0	0	7	0	0
4620	815	9	20	14	0	0	13	0	0
4621	772	1	10	10	100	30.0	8	100	12.0
4622	613	2	20	20	100	20.0	13	100	7.0
4623	908	7	20	20	100	10.0	18	100	11.0
4624	172	2	3	3	100	100.0	0	0	0
4625	961	7	20	20	100	30.0	14	100	21.0
4626	1240	4	20	20	100	70.0	17	100	76.0
4627	200	3	4	4	100	100.0	0	0	0
4628	1314	1	20	20	0	0	14	0	0
4629	1302	8	20	20	0	0	16	0	0
4630	1370	1	20	20	100	30.0	14	100	7.0
4631	72	2	2	2	100	100.0	0	0	0
4632	731	1	20	20	100	20.0	10	0	0
4633	575	6	6	6	100	100.0	4	100	100.0
4634	566	3	20	20	100	5.0	18	0	0
4635	1167	2	20	20	100	5.0	15	100	6.0
4636	634	2	18	10	100	100.0	1	100	100.0
4637	1099	5	20	20	0	0	16	0	0
4638	1924	9	20	20	0	0	18	0	0
4639	717	1	17	17	100	11.0	3	0	0
4640	1435	1	20	20	100	15.0	13	100	15.0
4641	1819	11	20	20	0	0	18	0	0
4642	1782	14	20	20	28	5.0	18	28	5.0
4643	917	1	20	20	100	60.0	3	0	0
4644	188	1	4	4	100	100.0	0	0	0
4645	1102	1	20	20	100	30.0	12	0	0
4646	1400	9	20	20	0	0	17	0	0
4647	629	2	11	11	100	36.0	4	100	25.0
4648	544	12	20	14	0	0	12	0	0
4649	234	15	3	3	0	0	3	0	0
4650	604	1	20	18	100	11.0	18	100	11.0
4651	221	7	4	4	100	25.0	2	0	0
4652	1188	7	20	16	0	0	11	0	0
4653	354	1	5	5	100	40.0	3	0	0
4654	582	11	11	9	100	66.0	7	100	57.0
4655	643	1	20	20	100	15.0	16	0	0
4656	566	13	8	8	0	0	6	0	0
4657	654	3	16	14	100	28.0	13	100	25.0
4658	57	3	20	20	100	5.0	5	0	0
4659	624	4	20	20	100	35.0	7	100	100.0
4660	1064	8	20	20	100	60.0	16	100	62.0
4661	796	1	9	9	100	88.0	8	100	87.0
4662	874	2	20	20	100	50.0	17	100	58.0
4663	1326	5	16	16	0	0	14	0	0
4664	644	2	20	20	100	20.0	15	100	6.0
4665	544	2	8	8	100	25.0	6	100	16.0
4666	847	1	20	20	100	5.0	11	0	0
4667	938	14	20	20	0	0	11	0	0
4668	99	2	3	3	100	100.0	0	0	0
4669	859	2	20	18	0	0	17	0	0
4670	367	1	5	5	100	20.0	4	0	0
4671	486	2	20	18	100	19.0	11	100	9.0
4672	768	4	14	12	100	8.0	9	100	11.0
4673	1160	1	20	20	100	100.0	0	0	0
4674	1216	1	20	20	100	90.0	6	100	66.0
4675	1907	12	20	20	100	80.0	13	100	69.0
4676	1918	3	20	20	100	100.0	18	100	100.0
4677	1870	4	20	20	100	95.0	16	100	100.0
4678	152	3	5	5	100	80.0	0	0	0
4679	896	1	20	20	100	30.0	8	0	0
4680	921	17	20	20	0	0	18	0	0
4681	1884	12	20	20	0	0	17	0	0
4682	1744	3	20	20	0	0	17	0	0
4683	614	3	10	10	100	100.0	5	100	100.0
4684	1359	2	20	20	100	10.0	18	100	5.0
4685	1087	12	16	16	0	0	13	0	0
4686	697	3	20	18	100	5.0	15	0	0
4687	207	1	6	6	100	66.0	2	100	50.0
4688	803	2	20	18	100	30.0	9	0	0
4689	866	3	15	13	100	7.0	11	100	9.0
4690	489	4	20	18	0	0	16	0	0
4691	104	2	5	3	100	66.0	0	0	0
4692	892	2	20	20	100	30.0	13	0	0
4693	1908	6	20	20	0	0	14	0	0
4694	1434	15	18	18	0	0	13	0	0
4695	270	1	20	18	100	22.0	13	100	7.0
4696	1247	6	20	20	0	0	17	0	0
4697	728	2	16	16	100	75.0	1	0	0
4698	1230	1	20	20	100	20.0	11	100	18.0
4699	1893	3	20	20	100	5.0	16	100	6.0
4700	1028	3	20	20	100	5.0	18	100	5.0
4701	574	3	10	10	100	60.0	7	100	42.0
4702	801	1	20	16	100	12.0	15	100	13.0
4703	1151	5	14	14	0	0	12	0	0
4704	692	2	20	18	100	5.0	14	0	0
4705	801	6	20	20	0	0	16	0	0
4706	228	2	6	4	100	100.0	0	0	0
4707	401	1	20	18	100	16.0	13	0	0
4708	48	4	2	2	100	100.0	0	0	0
4709	135	1	20	20	100	5.0	13	0	0
4710	955	4	20	20	100	5.0	17	100	5.0
4711	1511	2	20	20	100	15.0	15	100	20.0
4712	1616	4	20	18	0	0	13	0	0
4713	593	3	12	12	100	91.0	0	0	0
4714	1182	1	20	20	100	45.0	6	0	0
4715	1940	11	20	20	0	0	13	0	0
4716	1876	2	20	20	0	0	19	0	0
4717	1892	8	20	20	0	0	15	0	0
4718	1827	8	20	18	0	0	14	0	0
4719	1663	5	20	20	100	10.0	14	100	14.0
4720	536	2	15	15	100	73.0	1	0	0
4721	960	1	20	20	100	40.0	8	100	12.0
4722	124	12	4	4	0	0	4	0	0
4723	347	2	20	20	100	50.0	4	100	25.0
4724	1053	9	14	14	100	92.0	12	100	100.0
4725	1034	2	20	20	100	5.0	13	0	0
4726	1022	12	20	20	100	5.0	17	100	5.0
4727	475	3	7	7	100	23.333333333333332	5	66	20.0
4728	951	1	20	20	100	65.0	14	100	57.0
4729	763	14	14	14	100	53.42857142857143	13	100	57.142857142857146
4730	638	1	20	20	100	40.0	0	0	0
4731	1513	9	20	20	0	0	16	0	0
4732	1916	7	20	20	0	0	17	0	0
4733	1884	10	20	20	0	0	17	0	0
4734	1313	7	20	20	100	10.0	13	100	7.0
4735	127	11	3	3	0	0	0	0	0
4736	587	3	20	20	100	35.0	12	0	0
4737	763	7	13	13	0	0	13	0	0
4738	604	1	20	18	100	11.0	18	100	11.0
4739	597	2	12	12	100	12.0	8	0	0
4740	963	1	20	20	100	45.0	6	0	0
4741	1572	3	20	20	0	0	18	0	0
4742	1288	22	20	20	0	0	19	0	0
4743	563	4	9	9	100	22.0	6	0	0
4744	1164	3	20	20	100	5.0	17	0	0
4745	1520	6	20	20	0	0	18	0	0
4746	859	1	15	15	100	40.0	6	0	0
4747	48	10	13	11	100	9.0	11	100	9.0
4748	344	2	20	20	100	10.0	16	0	0
4749	120	1	2	2	100	50.0	1	0	0
4750	321	1	20	16	0	0	12	0	0
4751	517	2	20	20	100	25.0	13	100	15.0
4752	890	6	16	14	100	64.0	10	100	90.0
4753	1013	1	20	20	100	65.0	3	0	0
4754	1578	3	20	20	100	5.0	9	100	11.0
4755	1940	8	20	20	0	0	8	0	0
4756	1940	4	20	20	0	0	8	0	0
4757	1940	7	20	20	0	0	9	0	0
4758	1924	7	20	20	0	0	10	0	0
4759	1940	4	20	20	0	0	5	0	0
4760	1940	9	20	20	0	0	13	0	0
4761	1825	9	20	20	0	0	11	0	0
4762	913	1	20	18	100	50.0	4	0	0
4763	732	2	20	20	100	100.0	0	0	0
4764	111	2	3	3	100	100.0	0	0	0
4765	632	3	20	20	100	90.0	2	0	0
4766	540	3	20	20	100	100.0	0	0	0
4767	1124	2	20	20	100	15.0	7	0	0
4768	1300	12	20	20	0	0	5	0	0
4769	1300	6	20	20	100	5.0	8	100	12.0
4770	1105	6	20	20	0	0	11	0	0
4771	502	3	10	10	100	100.0	0	0	0
4772	1378	6	20	20	100	10.0	7	0	0
4773	1924	7	20	20	0	0	9	0	0
4774	1253	9	20	20	0	0	15	0	0
4775	195	1	5	5	100	100.0	0	0	0
4776	800	2	20	20	100	100.0	0	0	0
4777	1294	1	20	20	100	35.0	8	0	0
4778	1500	2	20	20	100	100.0	12	100	100.0
4779	1772	14	20	20	0	0	10	0	0
4780	1772	11	20	20	0	0	11	0	0
4781	1711	1	20	20	100	5.0	12	100	8.0
4782	715	1	14	14	100	21.0	5	0	0
4783	888	3	20	20	100	100.0	0	0	0
4784	760	3	20	20	100	100.0	0	0	0
4785	752	2	20	20	100	100.0	0	0	0
4786	716	3	20	20	0	0	0	0	0
4787	752	1	20	20	100	100.0	0	0	0
4788	1319	3	20	20	100	10.0	3	0	0
4789	1620	9	20	20	0	0	5	0	0
4790	1215	15	20	20	0	0	1	0	0
4791	1377	15	20	20	0	0	1	0	0
4792	1021	8	20	20	12	5.0	5	12	20.0
4793	1377	16	20	20	0	0	4	0	0
4794	1053	5	20	20	0	0	4	0	0
4795	972	12	20	20	0	0	2	0	0
4796	1200	8	20	20	100	5.0	5	100	20.0
4797	1134	9	20	20	0	0	14	0	0
4798	1620	12	20	20	0	0	6	0	0
4799	1602	4	20	20	100	10.0	6	100	33.0
4800	1610	4	20	20	100	5.0	4	100	25.0
4801	1620	11	20	20	0	0	3	0	0
4802	1620	11	20	20	0	0	7	0	0
4803	1612	17	20	20	0	0	5	0	0
4804	1615	3	20	20	100	5.0	3	100	33.0
4805	1620	5	20	20	0	0	2	0	0
4806	1628	10	20	20	0	0	5	0	0
4807	1628	10	20	20	0	0	2	0	0
4808	1628	9	20	20	0	0	4	0	0
4809	1620	11	20	20	0	0	2	0	0
4810	1507	2	20	14	0	0	3	0	0
4811	1373	1	20	12	0	0	2	0	0
4812	1514	2	20	14	100	7.0	2	100	50.0
4813	1544	1	20	14	0	0	1	0	0
4814	1475	1	20	12	0	0	1	0	0
4815	1527	1	20	18	100	11.0	2	0	0
4816	1517	1	20	18	0	0	2	0	0
4817	1441	1	20	18	0	0	0	0	0
4818	1365	9	20	20	0	0	6	0	0
4819	994	1	20	16	100	6.0	1	100	100.0
4820	1000	6	20	20	0	0	0	0	0
4821	924	1	20	20	100	5.0	0	0	0
4822	898	1	20	14	100	92.0	0	0	0
4823	877	2	20	14	100	100.0	0	0	0
4824	562	1	20	6	100	100.0	0	0	0
4825	831	2	17	13	100	100.0	0	0	0
4826	1602	35	20	20	0	0	4	0	0
4827	1157	13	20	20	0	0	9	0	0
4828	1157	13	20	20	0	0	8	0	0
4829	1424	15	20	20	0	0	11	0	0
4830	534	10	10	10	0	0	8	0	0
4831	1251	2	20	18	100	22.0	10	0	0
4832	776	19	12	12	0	0	11	0	0
4833	1014	5	20	20	0	0	3	0	0
4834	1417	3	20	20	0	0	7	0	0
4835	1815	9	20	20	0	0	9	0	0
4836	1932	13	20	20	0	0	8	0	0
4837	1924	9	20	20	0	0	11	0	0
4838	1843	13	20	20	0	0	10	0	0
4839	1940	10	20	20	0	0	5	0	0
4840	1280	8	20	20	100	10.0	10	0	0
4841	652	4	15	15	100	100.0	0	0	0
4842	1287	2	20	20	100	10.0	4	0	0
4843	1263	2	20	20	100	15.0	0	0	0
4844	1169	4	20	20	100	15.0	0	0	0
4845	1168	2	20	20	100	30.0	0	0	0
4846	1222	9	20	20	0	0	0	0	0
4847	1205	2	20	20	100	20.0	1	0	0
4848	1166	1	20	20	100	10.0	0	0	0
4849	1136	2	20	20	100	10.0	0	0	0
4850	1187	1	20	20	100	20.0	1	0	0
4851	1933	10	20	20	100	95.0	12	100	91.0
4852	1593	6	20	20	100	95.0	10	100	90.0
4853	756	2	17	15	100	26.0	0	0	0
4854	514	1	20	20	100	20.0	13	0	0
4855	1261	12	20	20	0	0	16	0	0
4856	146	1	3	3	100	66.0	1	100	100.0
4857	686	6	20	20	100	5.0	10	100	10.0
4858	1746	11	20	20	0	0	10	0	0
4859	229	1	5	5	100	80.0	1	0	0
4860	77	16	20	16	100	6.0	7	100	14.0
4861	935	6	11	11	0	0	9	0	0
4862	393	2	20	20	100	10.0	4	0	0
4863	623	5	12	10	100	80.0	4	100	75.0
4864	616	2	20	20	100	100.0	0	0	0
4865	947	1	20	20	100	80.0	3	100	100.0
4866	1327	1	20	20	100	55.0	8	100	37.0
4867	1805	2	20	20	100	10.0	10	0	0
4868	1908	14	20	20	0	0	12	0	0
4869	1932	12	20	20	0	0	6	0	0
4870	1916	7	20	20	0	0	8	0	0
4871	1932	8	20	20	0	0	12	0	0
4872	1857	9	20	20	0	0	8	0	0
4873	1440	4	20	20	0	0	9	0	0
4874	929	3	20	20	100	35.0	3	0	0
4875	176	1	4	4	100	100.0	0	0	0
4876	760	1	20	20	100	100.0	0	0	0
4877	856	3	20	20	100	55.0	0	0	0
4878	899	3	20	20	100	10.0	0	0	0
4879	900	13	20	20	0	0	0	0	0
4880	935	5	20	20	0	0	1	0	0
4881	1010	1	20	20	0	0	3	0	0
4882	1336	7	20	20	0	0	6	0	0
4883	1625	10	20	20	0	0	6	0	0
4884	1720	7	20	20	0	0	6	0	0
4885	1700	14	20	20	0	0	7	0	0
4886	1741	6	20	20	0	0	5	0	0
4887	1772	9	20	20	0	0	2	0	0
4888	1780	9	20	20	0	0	3	0	0
4889	1733	3	20	20	0	0	11	0	0
4890	1756	16	20	20	0	0	8	0	0
4891	1780	9	20	20	0	0	7	0	0
4892	1772	10	20	20	0	0	6	0	0
4893	1780	7	20	20	0	0	4	0	0
4894	1780	11	20	20	0	0	3	0	0
4895	1780	13	20	20	0	0	10	0	0
4896	1780	9	20	20	0	0	8	0	0
4897	1780	6	20	20	0	0	7	0	0
4898	1772	4	20	20	0	0	7	0	0
4899	1764	8	20	20	0	0	8	0	0
4900	1772	7	20	20	0	0	5	0	0
4901	1764	11	20	20	0	0	8	0	0
4902	1570	11	20	20	0	0	9	0	0
4903	1385	1	20	20	100	5.0	5	100	20.0
4904	1270	8	20	20	0	0	4	0	0
4905	1172	9	20	20	0	0	3	0	0
4906	1155	2	20	18	0	0	3	0	0
4907	1180	5	20	20	0	0	1	0	0
4908	1163	3	20	18	0	0	5	0	0
4909	1170	10	20	20	0	0	8	0	0
4910	1026	2	20	20	100	15.0	10	100	10.0
4911	840	2	20	18	100	94.0	0	0	0
4912	658	1	20	18	100	88.0	0	0	0
4913	360	1	9	9	100	88.0	0	0	0
4914	161	8	20	20	0	0	7	0	0
4915	1649	9	20	20	0	0	6	0	0
4916	1738	7	20	20	0	0	3	0	0
4917	1164	8	20	20	0	0	2	0	0
4918	873	9	20	18	0	0	1	0	0
4919	873	10	20	20	0	0	2	0	0
4920	873	14	20	20	0	0	2	0	0
4921	776	11	20	20	0	0	5	0	0
4922	1261	13	20	20	0	0	3	0	0
4923	995	2	20	18	0	0	5	0	0
4924	970	15	20	20	0	0	4	0	0
4925	1067	11	20	20	0	0	3	0	0
4926	1164	6	20	20	0	0	1	0	0
4927	873	13	20	20	0	0	1	0	0
4928	679	15	20	20	0	0	4	0	0
4929	873	4	20	20	0	0	1	0	0
4930	1067	13	20	20	0	0	0	0	0
