Datsetid	Players_total	Players_active	No.ofalignments	Empty_alignments	Maxscoreperread	Readnumber
3096	19	12	19	12	89.6	20
3097	15	14	15	14	88.8	20
3098	18	14	18	14	89.6	20
3099	13	12	13	12	88.4	20
3100	16	14	16	14	88.6	20
3101	10	9	10	9	90.0	20
3102	20	17	20	17	89.2	20
3103	16	11	16	11	84.65	20
3104	14	13	14	13	89.6	20
3105	16	13	16	13	88.8	20
3106	13	12	13	12	88.95	20
3107	11	8	11	8	89.2	20
3108	16	14	16	14	90.35	20
3109	20	17	20	17	90.7	20
3110	13	11	13	11	86.45	20
3111	12	9	12	9	89.0	20
3112	13	12	13	12	89.35	20
3113	12	10	12	10	90.0	20
3114	11	8	11	8	89.35	20
3115	10	8	10	8	89.6	20
3116	15	11	15	11	89.2	20
3117	20	17	20	17	89.6	20
3118	17	13	17	13	88.25	20
3119	14	13	14	13	88.15	20
3120	14	11	14	11	87.8	20
3121	26	7	26	26	88.55	20
3122	13	13	13	13	88.4	20
3123	35	8	35	8	83.25	20
3124	14	9	14	9	79.2	20
3125	13	10	13	10	77.8	20
3126	12	10	12	10	70.3	20
3127	11	8	11	8	68.7	20
3128	16	13	16	13	68.6	20
3129	20	14	20	14	68.0	20
3130	18	11	18	11	67.8	20
3131	16	12	16	12	67.1	20
3132	16	14	16	14	47.8	20
3133	15	13	15	13	40.0	20
3134	16	13	16	13	41.35	20
3135	12	10	12	10	43.4	20
3136	18	14	18	14	45.6	20
3137	19	17	19	17	46.0	20
3138	28	16	28	17	45.1	20
3139	18	16	18	16	44.0	20
3140	20	14	20	15	34.35	20
3141	13	9	13	9	30.6	20
3142	14	9	14	9	26.5	20
3143	13	10	13	10	49.0	20
3144	10	6	10	6	51.25	20
3145	17	10	17	10	64.25	20
3146	14	11	14	11	80.95	20
3147	18	14	18	14	99.15	20
3148	18	16	18	16	99.3	20
3149	19	13	19	13	98.0	20
3150	13	12	13	12	97.4	20
3151	13	8	13	8	100.0	20
3152	16	12	16	12	94.9	20
3153	16	13	16	13	99.8	20
3154	15	12	15	12	49.6	20
3155	14	12	14	12	68.5	20
3156	14	13	14	13	77.0	20
3157	12	10	12	10	65.05	20
3158	11	8	11	8	60.4	20
3159	11	9	11	9	73.25	20
3160	15	12	15	12	77.0	1
3161	18	12	18	12	43.65	20
3162	11	8	11	8	71.05	20
3163	15	11	15	11	94.85	20
3164	12	8	12	8	96.6	20
3165	17	14	17	14	95.8	20
3166	23	19	23	19	96.2	20
3167	18	17	18	17	84.85	20
3168	14	12	14	12	54.0	10
3169	15	13	15	13	46.35	20
3170	17	13	17	13	94.1	20
3171	15	14	15	14	66.7	20
3172	12	10	12	10	58.2	20
3173	13	11	13	11	86.1	20
3174	10	6	10	6	69.1	20
3175	14	8	14	8	36.833333333333336	12
3176	12	12	12	12	2.4	20
3177	14	12	14	12	59.38461538461539	13
3178	17	10	17	10	39.7	20
3179	13	10	13	10	70.35	20
3180	11	8	11	8	76.0	20
3181	16	13	16	13	76.0	20
3182	7	6	7	6	75.0	20
3183	14	10	14	11	46.8	20
3184	15	11	15	11	46.63157894736842	19
3185	16	10	16	10	36.05	20
3186	18	11	18	11	41.45	20
3187	19	17	19	17	91.5	20
3188	20	16	20	16	96.6	20
3189	13	12	13	12	97.0	20
3190	12	11	12	11	82.25	20
3191	11	10	11	10	54.44444444444444	18
3192	14	11	14	11	34.85	20
3193	9	8	9	8	60.65	20
3194	8	7	8	7	77.75	20
3195	21	16	21	16	60.75	20
3196	7	5	7	5	33.4	10
3197	12	10	12	10	51.4	20
3198	19	18	19	18	95.2	20
3199	18	14	18	14	97.0	20
3200	14	11	14	11	96.2	20
3201	15	14	15	14	62.95	20
3202	18	13	18	14	60.7	20
3203	9	7	9	7	56.1	20
3204	17	12	17	12	46.6	20
3205	12	10	12	10	72.6	20
3206	14	12	14	12	70.45	20
3207	19	15	19	15	57.2	20
3208	6	6	6	6	44.666666666666664	12
3209	18	9	18	9	44.85	20
3210	18	15	18	15	88.25	20
3211	21	16	21	16	83.4	20
3212	12	11	12	11	50.2	20
3213	14	12	14	12	32.0	12
3214	12	9	12	9	64.6	20
3215	12	9	12	9	89.0	20
3216	15	9	15	13	88.6	20
3217	10	8	10	8	83.95	20
3218	14	8	14	8	53.10526315789474	19
3219	11	10	11	10	40.1	20
3220	19	19	19	19	79.55	20
3221	22	17	22	19	88.6	20
3222	13	12	13	12	87.95	20
3223	8	8	8	8	65.2	20
3224	12	12	12	12	52.0	6
3225	14	10	14	10	38.5	20
3226	15	10	15	10	63.25	20
3227	13	11	13	11	97.7	20
3228	10	10	10	10	97.1	20
3229	10	8	10	8	98.8	20
3230	11	9	11	9	99.0	20
3231	15	13	15	13	86.2	20
3232	9	8	9	8	38.5	20
3233	12	7	12	7	38.0	5
3234	10	8	10	8	4.5	20
3235	15	10	15	10	76.95	20
3236	11	10	11	10	49.0	6
3237	16	11	16	11	86.95	20
3238	14	10	14	10	99.55	20
3239	19	18	19	18	100.35	20
3240	16	13	16	13	98.95	20
3241	18	14	18	14	98.8	20
3242	16	11	16	11	91.75	20
3243	15	13	15	13	51.8	20
3244	10	6	10	6	33.0	20
3245	11	6	11	7	26.0	2
3246	17	15	17	15	46.6	20
3247	8	6	8	6	72.45	20
3248	14	14	14	14	95.55	20
3249	14	12	14	12	96.0	20
3250	16	13	16	13	44.5	20
3251	20	14	20	14	53.85	20
3252	15	14	15	14	92.6	20
3253	14	11	14	11	96.2	20
3254	18	15	18	15	90.55	20
3255	9	8	9	8	54.35	20
3256	13	12	13	12	43.0	5
3257	15	12	15	12	43.0	20
3258	12	9	12	9	89.0	20
3259	12	11	12	11	86.15	20
3260	12	9	12	9	70.85	20
3261	12	10	12	10	41.0	2
3262	17	14	17	14	26.25	20
3263	17	16	17	16	70.5	12
3264	12	10	12	10	78.45	20
3265	14	14	14	14	103.25	20
3266	10	7	10	7	103.45	20
3267	18	13	18	13	103.2	20
3268	15	13	15	13	103.5	20
3269	13	12	13	12	103.1	20
3270	12	11	12	11	102.85	20
3271	19	15	19	15	91.95	20
3272	15	13	15	13	50.8	20
3273	20	17	20	18	35.0	3
3274	21	20	21	20	56.4	20
3275	11	7	11	7	68.35	20
3276	13	9	13	9	97.0	20
3277	12	11	12	11	84.3	20
3278	14	9	14	10	35.0	1
3279	13	9	13	9	54.15	20
3280	15	14	15	14	87.8	20
3281	23	20	23	21	88.6	20
3282	10	8	10	9	51.6	15
3283	19	10	19	10	36.05	20
3284	18	15	18	15	38.6	20
3285	16	11	16	11	37.8	20
3286	17	13	17	13	38.85	20
3287	8	7	8	7	38.95	20
3288	11	8	11	8	42.25	20
3289	24	14	24	14	43.0	20
3290	15	9	15	9	49.6	20
3291	18	12	18	12	49.3	20
3292	15	12	15	12	50.7	20
3293	14	10	14	10	52.0	20
3294	19	14	19	15	51.5	20
3295	13	12	13	12	50.7	20
3296	15	12	15	12	50.7	20
3297	13	7	13	7	50.0	20
3298	18	16	18	16	50.0	20
3299	15	8	15	8	50.0	20
3300	10	7	10	7	50.0	20
3301	19	15	19	15	49.6	20
3302	29	11	29	24	50.0	20
3303	16	12	16	12	50.0	20
3304	11	8	11	8	47.3	20
3305	15	11	15	12	49.15	20
3306	19	10	19	10	50.0	20
3307	14	8	14	8	50.0	20
3308	16	10	16	10	50.0	20
3309	14	11	14	11	50.9	20
3310	19	13	19	13	74.8	20
3311	10	8	10	8	75.45	20
3312	23	14	23	14	79.05	20
3313	14	10	14	10	80.6	20
3314	13	8	13	8	79.05	20
3315	22	14	22	14	81.0	20
3316	11	8	11	8	80.6	20
3317	9	6	9	6	81.0	20
3318	9	7	9	7	79.4	20
3319	11	8	11	8	77.15	20
3320	16	9	16	9	74.95	20
3321	19	14	19	14	80.6	20
3322	15	13	15	13	81.0	20
3323	17	14	17	14	81.0	20
3324	12	9	12	9	80.2	20
3325	14	13	14	13	80.6	20
3326	10	7	10	7	78.65	20
3327	13	10	13	10	81.0	20
3328	12	8	12	8	80.6	20
3329	19	14	19	14	80.6	20
3330	19	13	19	13	78.3	20
3331	10	7	10	7	75.9	20
3332	10	7	10	7	80.6	20
3333	21	13	21	13	81.0	20
3334	13	11	13	11	77.35	20
3335	19	13	19	13	81.0	20
3336	7	6	7	6	80.6	20
3337	12	9	12	9	79.4	20
3338	17	15	17	15	80.0	20
3339	17	13	17	13	80.6	20
3340	11	6	11	6	81.0	20
3341	16	13	16	13	77.9	20
3342	23	15	23	15	79.5	20
3343	7	5	7	5	80.2	20
3344	16	13	16	13	78.65	20
3345	9	7	9	7	78.25	20
3346	19	16	19	16	81.0	20
3347	21	16	21	16	81.0	20
3348	14	14	14	14	79.4	20
3349	17	13	17	13	79.45	20
3350	12	11	12	11	79.9	20
3351	14	12	14	12	79.15	20
3352	18	16	18	16	79.05	20
3353	11	9	11	9	81.0	20
3354	12	9	12	9	79.9	20
3355	13	13	13	13	81.0	20
3356	11	11	11	11	79.8	20
3357	13	12	13	12	81.0	20
3358	17	12	17	12	79.4	20
3359	16	11	16	12	78.3	20
3360	15	10	15	10	79.45	20
3361	9	8	9	8	80.25	20
3362	18	16	18	16	81.0	20
3363	20	19	20	19	80.6	20
3364	21	14	21	14	76.3	20
3365	19	13	19	13	80.2	20
3366	18	15	18	15	81.0	20
3367	14	11	14	11	76.6	20
3368	12	10	12	10	81.0	20
3369	16	11	16	11	79.4	20
3370	11	9	11	9	81.0	20
3371	14	11	14	11	77.15	20
3372	19	15	19	15	79.85	20
3373	12	12	12	12	80.5	20
3374	13	11	13	11	76.5	20
3375	12	11	12	11	81.0	20
3376	12	8	12	8	80.6	20
3377	15	11	15	11	81.0	20
3378	11	9	11	9	81.0	20
3379	13	13	13	13	81.0	20
3380	14	10	14	11	81.0	20
3381	15	15	15	15	81.0	20
3382	19	14	19	14	77.9	20
3383	26	19	26	19	76.55	20
3384	11	11	11	11	77.9	20
3385	18	15	18	15	81.0	20
3386	14	11	14	11	80.2	20
3387	6	5	6	5	79.85	20
3388	12	8	12	8	79.85	20
3389	20	16	20	16	80.6	20
3390	24	21	24	21	79.5	20
3391	18	15	18	15	79.05	20
3392	16	12	16	12	79.4	20
3393	12	10	12	10	80.2	20
3394	17	15	17	15	81.0	20
3395	16	11	16	11	78.65	20
3396	13	8	13	8	80.6	20
3397	13	9	13	9	79.85	20
3398	13	13	13	13	79.45	20
3399	19	16	19	16	80.2	20
3400	7	5	7	5	78.6	20
3401	21	16	21	16	80.6	20
3402	8	7	8	7	81.0	20
3403	14	10	14	10	80.2	20
3404	11	9	11	9	80.6	20
3405	14	12	14	12	79.55	20
3406	9	6	9	7	79.85	20
3407	16	13	16	13	81.0	20
3408	8	6	8	6	80.2	20
3409	8	6	8	6	81.0	20
3410	15	11	15	11	78.6	20
