ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
584	1772	10	20	20	0	0
585	1772	15	20	20	0	0
586	1772	13	20	20	0	0
587	1732	6	20	20	0	0
588	1701	3	20	20	100	5.0
589	1672	13	20	20	0	0
590	827	1	20	20	100	100.0
591	315	4	7	7	100	100.0
592	632	1	20	20	100	100.0
593	1197	8	20	20	0	0
594	1444	10	20	20	100	5.0
595	1490	2	20	20	100	15.0
596	636	8	16	10	100	50.0
597	1087	1	20	20	100	25.0
598	1835	10	20	20	0	0
599	1473	1	20	20	100	20.0
600	170	1	5	5	100	100.0
601	1060	1	20	20	100	50.0
602	801	10	20	20	0	0
603	309	1	7	7	100	100.0
604	892	1	20	20	100	20.0
605	1765	5	20	20	100	5.0
606	1711	14	20	20	0	0
607	582	2	10	10	100	90.0
608	1121	4	20	20	100	25.0
609	1364	12	20	20	100	5.0
610	1487	12	20	16	0	0
611	235	4	5	5	100	100.0
612	1397	3	20	16	100	18.0
613	66	1	2	2	100	100.0
614	812	1	20	20	100	35.0
615	1649	9	20	20	0	0
616	1523	10	20	20	0	0
617	402	1	10	10	100	70.0
618	1052	3	20	20	100	100.0
619	1334	3	20	20	100	35.0
620	1379	9	20	20	0	0
621	1444	4	20	20	0	0
622	1444	8	20	20	0	0
623	1401	7	20	20	0	0
624	841	12	20	20	0	0
625	393	1	11	11	100	90.0
626	35	32	20	20	0	0
627	1040	4	20	20	0	0
628	1048	6	20	20	0	0
629	1032	159	20	20	0	0
630	1032	9	20	20	0	0
631	987	7	20	20	0	0
632	932	11	20	20	0	0
633	673	13	20	20	0	0
634	400	9	20	20	0	0
635	650	14	20	20	0	0
636	400	7	20	20	0	0
637	500	8	20	20	0	0
638	600	17	20	20	0	0
639	287	2	20	18	0	0
640	600	11	20	20	0	0
641	500	18	20	20	0	0
642	350	18	20	18	0	0
643	450	10	20	20	0	0
644	442	12	20	20	0	0
645	600	13	20	18	0	0
646	400	12	20	20	0	0
647	500	14	20	20	0	0
648	492	12	20	20	0	0
649	500	9	20	20	0	0
650	800	11	20	20	0	0
651	300	11	20	20	0	0
652	600	7	20	20	0	0
653	550	10	20	20	0	0
654	200	11	20	20	0	0
655	650	8	20	20	0	0
656	400	8	20	20	0	0
657	300	18	20	20	0	0
658	450	16	20	18	0	0
659	542	6	20	20	0	0
660	650	14	20	20	0	0
661	400	35	20	20	0	0
662	400	14	20	20	0	0
663	600	13	20	18	0	0
664	400	10	20	20	0	0
665	400	12	20	18	0	0
666	534	10	20	20	0	0
667	584	13	20	20	0	0
668	500	10	20	18	0	0
669	242	12	20	20	0	0
670	384	10	20	20	0	0
671	700	8	20	20	0	0
672	300	13	20	20	0	0
673	492	11	20	20	0	0
674	450	11	20	20	0	0
675	550	11	20	20	0	0
676	550	12	20	18	0	0
677	242	11	20	18	0	0
678	558	1	20	16	0	0
679	434	15	20	20	0	0
680	200	35	20	20	0	0
681	385	5	20	16	0	0
682	350	13	20	20	0	0
683	450	14	20	18	0	0
684	400	15	20	20	0	0
685	600	17	20	20	0	0
686	350	16	20	20	0	0
687	500	17	20	20	0	0
688	550	11	20	20	0	0
689	500	16	20	18	0	0
690	350	10	20	20	0	0
691	600	11	20	20	0	0
692	500	13	20	20	0	0
693	300	10	20	18	0	0
694	450	11	20	20	0	0
695	698	3	20	18	0	0
696	400	17	20	20	0	0
697	492	10	20	20	0	0
698	610	10	20	20	0	0
699	855	4	20	20	0	0
700	835	1	20	20	100	5.0
701	800	3	20	20	0	0
702	684	5	20	18	0	0
703	664	2	20	18	100	16.0
704	589	2	20	20	100	80.0
705	586	2	20	20	100	90.0
706	654	1	20	20	100	100.0
707	463	2	16	14	100	100.0
708	31	1	20	20	100	5.0
709	2051	11	20	20	100	25.0
710	2064	9	20	20	100	35.0
711	1750	13	20	20	100	30.0
712	1216	3	20	20	100	15.0
713	778	2	20	20	100	70.0
714	980	3	20	20	100	30.0
715	540	9	12	12	0	0
716	692	1	20	20	100	100.0
717	1340	1	20	20	100	100.0
718	1572	6	20	20	100	100.0
719	1540	5	20	20	100	100.0
720	1572	9	20	20	100	100.0
721	1564	7	20	20	100	100.0
722	1580	10	20	20	100	100.0
723	1558	3	20	20	100	100.0
