date	userType	sessions	users	sessionDuration	avgSessionDuration
20130911	Returning Visitor	183	107	286206.0	1563.967213114754
20130912	Returning Visitor	203	127	320836.0	1580.472906403941
20130913	Returning Visitor	175	97	321594.0	1837.68
20130914	Returning Visitor	161	89	253958.0	1577.3788819875776
20130915	Returning Visitor	157	90	262569.0	1672.4140127388534
20130916	Returning Visitor	152	89	243916.0	1604.7105263157894
20130917	Returning Visitor	138	81	193023.0	1398.7173913043478
20130918	Returning Visitor	126	82	231010.0	1833.4126984126983
20130919	Returning Visitor	134	74	307474.0	2294.582089552239
20130920	Returning Visitor	131	71	273022.0	2084.1374045801526
20130921	Returning Visitor	121	68	213978.0	1768.4132231404958
20130922	Returning Visitor	119	64	202531.0	1701.9411764705883
20130923	Returning Visitor	179	105	234093.0	1307.782122905028
20130924	Returning Visitor	153	89	221719.0	1449.1437908496732
20130925	Returning Visitor	138	72	189518.0	1373.3188405797102
20130926	Returning Visitor	119	80	228932.0	1923.7983193277312
20130927	Returning Visitor	113	61	183290.0	1622.0353982300885
20130928	Returning Visitor	97	51	216385.0	2230.773195876289
20130929	Returning Visitor	103	56	217933.0	2115.854368932039
20130930	Returning Visitor	125	70	201597.0	1612.776
20131001	Returning Visitor	134	71	234021.0	1746.4253731343283
20131002	Returning Visitor	118	66	214039.0	1813.8898305084747
20131003	Returning Visitor	107	57	214409.0	2003.822429906542
20131004	Returning Visitor	99	56	217125.0	2193.181818181818
20131005	Returning Visitor	82	40	181483.0	2213.2073170731705
20131006	Returning Visitor	79	40	164055.0	2076.6455696202534
20131007	Returning Visitor	100	50	182442.0	1824.42
20131008	Returning Visitor	92	52	162234.0	1763.4130434782608
20131009	Returning Visitor	106	56	175708.0	1657.622641509434
20131010	Returning Visitor	82	43	175554.0	2140.9024390243903
20131011	Returning Visitor	95	45	230791.0	2429.378947368421
20131012	Returning Visitor	91	39	184827.0	2031.065934065934
20131013	Returning Visitor	98	45	215891.0	2202.969387755102
20131014	Returning Visitor	84	43	260339.0	3099.2738095238096
20131015	Returning Visitor	84	47	149016.0	1774.0
20131016	Returning Visitor	93	43	168086.0	1807.3763440860216
20131017	Returning Visitor	80	50	219921.0	2749.0125
20131018	Returning Visitor	95	50	182991.0	1926.221052631579
20131019	Returning Visitor	87	57	159697.0	1835.5977011494253
20131020	Returning Visitor	92	50	163821.0	1780.6630434782608
20131021	Returning Visitor	98	54	206353.0	2105.6428571428573
20131022	Returning Visitor	104	48	207299.0	1993.2596153846155
20131023	Returning Visitor	97	47	215951.0	2226.298969072165
20131024	Returning Visitor	107	46	155751.0	1455.6168224299065
20131025	Returning Visitor	87	41	130360.0	1498.3908045977012
20131026	Returning Visitor	71	42	126953.0	1788.0704225352113
20131027	Returning Visitor	56	28	155508.0	2776.9285714285716
20131028	Returning Visitor	81	30	187549.0	2315.41975308642
20131029	Returning Visitor	66	30	150493.0	2280.1969696969695
20131030	Returning Visitor	82	35	145695.0	1776.7682926829268
20131031	Returning Visitor	63	30	116481.0	1848.904761904762
20131101	Returning Visitor	81	32	164659.0	2032.8271604938273
20131102	Returning Visitor	56	25	121270.0	2165.535714285714
20131103	Returning Visitor	69	33	136894.0	1983.9710144927535
20131104	Returning Visitor	79	31	169521.0	2145.8354430379745
20131105	Returning Visitor	86	45	176965.0	2057.732558139535
20131106	Returning Visitor	85	42	162226.0	1908.5411764705882
20131107	Returning Visitor	122	65	159830.0	1310.0819672131147
20131108	Returning Visitor	149	67	204356.0	1371.5167785234898
20131109	Returning Visitor	102	55	129884.0	1273.3725490196077
20131110	Returning Visitor	206	133	216668.0	1051.7864077669904
20131111	Returning Visitor	196	119	212263.0	1082.9744897959183
20131112	Returning Visitor	157	85	178950.0	1139.8089171974523
20131113	Returning Visitor	140	78	226136.0	1615.2571428571428
20131114	Returning Visitor	103	58	148290.0	1439.7087378640776
20131115	Returning Visitor	107	55	171214.0	1600.1308411214952
20131116	Returning Visitor	89	56	97485.0	1095.3370786516855
20131117	Returning Visitor	93	53	119624.0	1286.279569892473
20131118	Returning Visitor	83	49	142601.0	1718.0843373493976
20131119	Returning Visitor	74	40	132335.0	1788.3108108108108
20131120	Returning Visitor	75	38	109656.0	1462.08
20131121	Returning Visitor	75	37	109435.0	1459.1333333333334
20131122	Returning Visitor	54	32	76812.0	1422.4444444444443
20131123	Returning Visitor	47	28	88477.0	1882.4893617021276
20131124	Returning Visitor	60	27	110818.0	1846.9666666666667
20131125	Returning Visitor	56	26	120113.0	2144.875
20131126	Returning Visitor	56	19	108133.0	1930.9464285714287
20131127	Returning Visitor	60	35	115230.0	1920.5
20131128	Returning Visitor	50	21	74061.0	1481.22
20131129	Returning Visitor	64	31	96585.0	1509.140625
20131130	Returning Visitor	61	32	79443.0	1302.344262295082
20131201	Returning Visitor	54	27	93487.0	1731.2407407407406
20131202	Returning Visitor	60	27	118436.0	1973.9333333333334
20131203	Returning Visitor	67	30	110826.0	1654.1194029850747
20131204	Returning Visitor	57	25	111160.0	1950.1754385964912
20131205	Returning Visitor	69	35	104220.0	1510.4347826086957
20131206	Returning Visitor	45	22	73470.0	1632.6666666666667
20131207	Returning Visitor	43	22	72681.0	1690.2558139534883
20131208	Returning Visitor	47	27	59296.0	1261.6170212765958
20131209	Returning Visitor	67	31	113032.0	1687.044776119403
20131210	Returning Visitor	47	25	85350.0	1815.9574468085107
20131211	Returning Visitor	55	24	94769.0	1723.0727272727272
20131212	Returning Visitor	52	23	59354.0	1141.423076923077
20131213	Returning Visitor	59	20	83769.0	1419.8135593220338
20131214	Returning Visitor	52	22	102160.0	1964.6153846153845
20131215	Returning Visitor	44	21	79674.0	1810.7727272727273
20131216	Returning Visitor	58	26	85703.0	1477.6379310344828
20131217	Returning Visitor	57	18	80193.0	1406.8947368421052
20131218	Returning Visitor	44	18	92255.0	2096.7045454545455
20131219	Returning Visitor	50	15	82019.0	1640.38
20131220	Returning Visitor	39	18	49472.0	1268.5128205128206
