date	sessions	users	newUsers	percentNewSessions	sessionDuration	avgSessionDuration
20131205	92	54	23	25.0	117003.0	1271.7717391304348
20131206	69	43	24	34.78260869565217	89121.0	1291.608695652174
20131207	60	36	17	28.333333333333332	76170.0	1269.5
20131208	70	47	23	32.857142857142854	75044.0	1072.057142857143
20131209	91	54	24	26.373626373626376	130195.0	1430.7142857142858
20131210	71	47	24	33.80281690140845	102482.0	1443.4084507042253
20131211	73	41	18	24.65753424657534	107112.0	1467.2876712328766
20131212	70	37	18	25.71428571428571	67706.0	967.2285714285714
20131213	75	34	16	21.333333333333336	99734.0	1329.7866666666666
20131214	64	31	12	18.75	110642.0	1728.78125
20131215	62	35	18	29.03225806451613	96652.0	1558.9032258064517
20131216	72	38	14	19.444444444444446	90953.0	1263.236111111111
20131217	75	36	18	24.0	91813.0	1224.1733333333334
20131218	62	33	18	29.03225806451613	108554.0	1750.8709677419354
20131219	62	26	12	19.35483870967742	83893.0	1353.1129032258063
20131220	57	32	18	31.57894736842105	60480.0	1061.0526315789473
20131221	50	33	17	34.0	97945.0	1958.9
20131222	46	27	9	19.565217391304348	82587.0	1795.3695652173913
20131223	51	31	11	21.568627450980394	88480.0	1734.9019607843138
20131224	37	23	12	32.432432432432435	40574.0	1096.5945945945946
20131225	27	17	7	25.925925925925924	19328.0	715.8518518518518
20131226	48	22	6	12.5	77883.0	1622.5625
20131227	51	25	14	27.450980392156865	71463.0	1401.235294117647
20131228	35	18	7	20.0	46058.0	1315.942857142857
20131229	32	16	7	21.875	60451.0	1889.09375
20131230	58	29	15	25.862068965517242	67161.0	1157.948275862069
20131231	60	31	15	25.0	103105.0	1718.4166666666667
20140101	43	17	6	13.953488372093023	86451.0	2010.4883720930231
20140102	66	40	21	31.818181818181817	66967.0	1014.6515151515151
20140103	63	27	12	19.047619047619047	96433.0	1530.6825396825398
20140104	51	28	10	19.607843137254903	60068.0	1177.8039215686274
20140105	71	42	25	35.2112676056338	98985.0	1394.1549295774648
20140106	62	34	16	25.806451612903224	90275.0	1456.0483870967741
20140107	63	33	18	28.57142857142857	111958.0	1777.111111111111
20140108	61	23	8	13.114754098360656	99843.0	1636.7704918032787
20140109	55	29	14	25.454545454545453	99134.0	1802.4363636363637
20140110	59	27	8	13.559322033898304	88910.0	1506.949152542373
20140111	38	20	9	23.684210526315788	84800.0	2231.5789473684213
20140112	50	29	12	24.0	97286.0	1945.72
20140113	61	33	16	26.229508196721312	120895.0	1981.8852459016393
20140114	63	30	14	22.22222222222222	100918.0	1601.873015873016
20140115	62	31	16	25.806451612903224	93297.0	1504.7903225806451
20140116	66	32	18	27.27272727272727	88534.0	1341.4242424242425
20140117	48	22	11	22.916666666666664	105078.0	2189.125
20140118	51	21	8	15.686274509803921	75281.0	1476.0980392156862
20140119	45	25	11	24.444444444444443	67907.0	1509.0444444444445
20140120	49	22	8	16.3265306122449	56965.0	1162.5510204081634
20140121	45	23	9	20.0	60410.0	1342.4444444444443
20140122	41	24	8	19.51219512195122	77741.0	1896.121951219512
20140123	38	15	5	13.157894736842104	77043.0	2027.4473684210527
20140124	40	17	8	20.0	62139.0	1553.475
20140125	86	59	49	56.97674418604651	82519.0	959.5232558139535
20140126	215	163	147	68.37209302325581	192136.0	893.6558139534884
20140127	163	112	89	54.601226993865026	159367.0	977.7116564417178
20140128	104	72	41	39.42307692307692	108868.0	1046.8076923076924
20140129	107	67	40	37.38317757009346	100717.0	941.2803738317757
20140130	69	43	22	31.88405797101449	73343.0	1062.9420289855072
20140131	65	36	19	29.230769230769234	80344.0	1236.0615384615385
20140201	59	37	23	38.983050847457626	76613.0	1298.5254237288136
20140202	72	45	29	40.27777777777778	93398.0	1297.1944444444443
20140203	75	46	29	38.666666666666664	101796.0	1357.28
20140204	74	48	21	28.37837837837838	86186.0	1164.6756756756756
20140205	63	41	23	36.507936507936506	87042.0	1381.6190476190477
20140206	81	45	28	34.5679012345679	169918.0	2097.753086419753
20140207	82	51	29	35.36585365853659	144714.0	1764.8048780487804
20140208	61	30	13	21.311475409836063	125405.0	2055.8196721311474
20140209	63	32	13	20.634920634920633	159495.0	2531.6666666666665
20140210	59	35	18	30.508474576271187	150268.0	2546.915254237288
20140211	73	37	15	20.54794520547945	143821.0	1970.150684931507
20140212	75	41	20	26.666666666666668	155818.0	2077.5733333333333
20140213	87	43	22	25.287356321839084	136168.0	1565.1494252873563
20140214	71	37	19	26.76056338028169	125731.0	1770.8591549295775
20140215	54	35	14	25.925925925925924	86520.0	1602.2222222222222
