Datsetid	Players_total	No.ofalignments	Players_active	Usable_alignments	Empty_alignments	Maxscoreperread	Readnumber
652	9	9	8	8	1	30.0	20
653	14	14	11	11	3	27.5	20
654	13	13	11	11	2	10.0	20
655	12	12	9	9	3	32.5	20
656	11	11	8	8	3	20.0	20
657	19	19	18	18	1	15.0	20
658	17	17	16	16	1	22.5	20
659	9	9	7	7	2	27.1	20
660	19	19	16	16	3	32.5	20
661	19	38	16	35	3	20.0	20
662	18	18	15	15	3	20.0	20
663	15	15	13	13	2	30.0	20
664	14	14	11	11	3	20.0	20
665	15	15	13	13	2	20.0	20
666	17	17	12	12	5	26.7	20
667	20	20	17	17	3	29.2	20
668	12	12	10	10	2	25.0	20
669	14	14	13	13	1	12.1	20
670	16	16	13	13	3	19.2	20
671	11	11	10	10	1	35.0	20
672	13	13	13	13	0	15.0	20
673	13	13	11	11	2	24.6	20
674	19	19	12	12	7	22.5	20
675	13	13	12	12	1	27.5	20
676	19	19	14	14	5	27.5	20
677	14	14	13	13	1	12.1	20
678	22	22	14	14	8	27.9	20
679	19	19	17	17	2	21.7	20
680	37	37	35	35	2	10.0	20
681	18	18	13	13	5	19.25	20
682	16	16	13	13	3	17.5	20
683	17	17	16	16	1	22.5	20
684	17	17	17	17	0	20.0	20
685	18	18	18	18	0	30.0	20
686	18	19	16	17	2	17.5	20
687	19	19	17	17	2	25.0	20
688	16	16	11	11	5	27.5	20
689	22	23	15	16	7	25.0	20
690	13	13	10	10	3	17.5	20
691	14	14	11	11	3	30.0	20
692	19	19	15	15	4	25.0	20
693	12	12	11	11	1	15.0	20
694	13	13	12	12	1	22.5	20
695	13	13	10	10	3	34.9	20
696	23	23	17	17	6	20.0	20
697	14	14	10	10	4	24.6	20
698	12	12	11	11	1	30.5	20
699	5	5	4	4	1	42.75	20
700	14	14	13	13	1	41.75	20
701	7	7	6	6	1	40.0	20
702	11	11	9	9	2	34.2	20
703	17	17	14	14	3	33.2	20
704	9	9	6	6	3	29.45	20
705	13	13	9	9	4	29.3	20
706	10	10	7	7	3	32.7	20
707	17	17	17	17	0	28.9375	16
708	12	12	8	8	4	1.55	20
709	16	16	12	12	4	102.55	20
710	12	12	11	11	1	103.2	20
711	18	18	15	15	3	87.5	20
712	10	10	6	6	4	60.8	20
713	11	11	7	7	4	38.9	20
714	12	12	10	10	2	49.0	20
715	12	12	11	11	1	45.0	12
716	9	9	5	5	4	34.6	20
717	12	12	10	10	2	67.0	20
718	9	9	7	7	2	78.6	20
719	9	9	7	7	2	77.0	20
720	18	18	14	14	4	78.6	20
721	13	13	11	11	2	78.2	20
722	15	15	12	12	3	79.0	20
723	10	10	8	8	2	77.9	20
724	12	12	10	10	2	78.7	20
725	17	17	14	14	3	79.0	20
726	17	17	15	15	2	63.07692307692308	13
727	9	9	6	6	3	48.3	20
728	12	12	11	11	1	83.55	20
729	12	12	10	10	2	96.2	20
730	15	15	12	12	3	95.55	20
731	25	25	19	19	6	97.0	20
732	9	9	5	5	4	95.6	20
733	19	19	19	19	0	93.35	20
734	12	12	11	11	1	61.7	20
735	14	14	8	8	6	46.0	20
736	10	10	8	8	2	26.1	20
737	24	24	17	17	7	85.1	20
738	11	11	9	9	2	39.875	8
739	15	15	12	12	3	50.3	20
740	25	25	18	18	7	61.2	20
741	14	14	13	13	1	56.4	20
742	11	11	7	7	4	56.35	20
743	14	14	11	11	3	53.85	20
744	13	13	10	10	3	37.5	12
745	10	12	8	8	4	25.3	20
746	13	13	11	11	2	61.55555555555556	9
747	12	12	11	11	1	20.066666666666666	15
748	11	11	10	10	1	44.4	20
749	18	21	14	17	4	83.0	20
750	12	12	9	9	3	87.4	20
751	15	15	11	11	4	86.6	20
752	18	28	13	21	7	66.3	20
753	11	11	7	7	4	39.714285714285715	7
754	13	13	10	10	3	42.85	20
755	15	15	11	11	4	61.05	20
756	15	15	12	12	3	87.15	20
